,location,city,country,utc,weekday,local,parameter,value,unit,latitude,longitude,attribution
69,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-09T06:30:00Z,3,2020-06-09T12:00:00+05:30,o3,25.58,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
70,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-09T04:45:00Z,3,2020-06-09T10:15:00+05:30,o3,17.46,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
71,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-09T04:30:00Z,3,2020-06-09T10:00:00+05:30,o3,17.5,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
72,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-09T00:45:00Z,3,2020-06-09T06:15:00+05:30,o3,18.58,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
73,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-09T00:30:00Z,3,2020-06-09T06:00:00+05:30,o3,18.58,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
74,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-08T23:45:00Z,3,2020-06-09T05:15:00+05:30,o3,18.58,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
75,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-08T23:00:00Z,3,2020-06-09T04:30:00+05:30,o3,18.56,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
76,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-08T22:15:00Z,3,2020-06-09T03:45:00+05:30,o3,18.52,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
77,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-08T22:00:00Z,3,2020-06-09T03:30:00+05:30,o3,18.52,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
78,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-08T21:30:00Z,3,2020-06-09T03:00:00+05:30,o3,18.5,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
